Album Name,Genre,Year,Artist,Score,Composition/Production,Lyricism,Replayablity,Album Art,Album Art Link
Melodrama,synth-pop,2017,Lorde,8.0,8,9,7,8,https://en.wikipedia.org/wiki/File:Lorde_-_Melodrama.png
Foxy Shazam,glam rock,2010,Foxy Shazam,7.4,7,7.5,8.5,6.5,https://en.wikipedia.org/wiki/File:Foxy_Shazam_-_Foxy_Shazam.jpg
Harry Styles,pop,2017,Harry Styles,7.3,8,7,8,6,https://en.wikipedia.org/wiki/File:HarryStyles-albumcover.png
Pressure Machine,folk rock,2022,The Killers,7.6,8.5,7.5,7.5,7,https://en.wikipedia.org/wiki/File:The_Killers_-_Pressure_Machine.png
Twenty Twenty,Psychedelic rock,2019,DJO,5.6,6.5,6,5,5,https://en.wikipedia.org/wiki/File:Twenty_Twenty_(Joe_Keery_album).jpg
Genesis ,pop,1983,Genesis,5.9,7.5,7,4.5,4.5,https://en.wikipedia.org/wiki/File:Genesis83.jpg
Time Out Of Mind,blues rock,1997,Bob Dylan,8.1,8.5,9,8,7,https://en.wikipedia.org/wiki/File:Bob_Dylan_-_Time_Out_of_Mind.jpg
DECIDE,synth-pop,2022,DJO,7.1,7.5,7.5,7,6.5,https://en.wikipedia.org/wiki/File:Decide_Djo.png
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,
,,,,#DIV/0!,,,,,